group_id,species_group_id,pdb_id,crystal_id,protein,species_name,species_major_class,species_minor_class,species_role_class,is_ion_like,is_anion,is_cation,is_metal_cation,is_monovalent_cation,is_divalent_cation,is_screen_relevant_anion,is_buffer_like,is_solvent_like,is_polymeric_precipitant,is_polyol_like,is_ionic_liquid_or_des,condition_segment_count,has_numeric_concentration,concentration_value_count,concentration_numeric_min,concentration_numeric_max,concentration_numeric_mean,concentration_unit_primary,concentration_unit_family,molar_equivalent_min,molar_equivalent_max,molar_equivalent_mean,concentration_bin,method_family,p_h,temp_k,observed_in_structure,observed_in_structure_label,explicit_entity_present_label,retained_multicopy_label,explicit_entity_count,explicit_compound_count,solvent_content_percent,solvent_content_regime,matthews_density,resolution_high_a,resolution_regime,space_group_hm
lysozyme|6JXP|1,lysozyme|6JXP|1|sodium,6JXP,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,,,,missing,missing,,,,missing,small tubes,,293.5,no,0,0,0,0,0,31.4,compact,1.79,1.56,high,P 43 21 2
lysozyme|6JXQ|1,lysozyme|6JXQ|1|sodium,6JXQ,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,,,,missing,missing,,,,missing,small tubes,,293.5,no,0,0,0,0,0,31.78,compact,1.8,1.76,high,P 43 21 2
lysozyme|6JZI|1,lysozyme|6JZI|1|sodium,6JZI,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,28.0,28.0,28.0,%,percent,,,,nonmolar_numeric,batch,,293.0,yes,1,1,0,1,0,40.73,intermediate,2.08,1.91,medium,P 43 21 2
lysozyme|6K5Q|1,lysozyme|6K5Q|1|sodium,6K5Q,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,100.0,100.0,100.0,mM,molar,0.1,0.1,0.1,mid,vapor diffusion - hanging drop,4.5,293.0,yes,1,1,0,1,0,38.0,compact,1.98,1.18,high,P 43 21 2
lysozyme|6K69|1,lysozyme|6K69|1|sodium,6K69,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0.1,4.8,2.4499999999999997,M,molar,0.1,4.8,2.4499999999999997,very_high,vapor diffusion - sitting drop,,296.0,no,0,0,0,0,0,70.56,open,3.53,2.4,medium,P 32 2 1
lysozyme|6K8G|1,lysozyme|6K8G|1|sodium,6K8G,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,,,,missing,missing,,,,missing,vapor diffusion - sitting drop,4.6,293.0,yes,1,1,0,1,0,40.41,intermediate,2.06,2.0,medium,P 43 21 2
lysozyme|6KCB|1,lysozyme|6KCB|1|sodium,6KCB,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,,,,missing,missing,,,,missing,small tubes,4.5,293.5,yes,1,1,0,1,0,34.12,compact,1.87,1.8,high,P 43 21 2
lysozyme|6KCD|1,lysozyme|6KCD|1|sodium,6KCD,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,,,,missing,missing,,,,missing,small tubes,4.5,293.5,yes,1,1,0,1,0,34.12,compact,1.87,1.5,high,P 43 21 2
lysozyme|6KD1|1,lysozyme|6KD1|1|sodium,6KD1,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,,,,missing,missing,,,,missing,small tubes,,293.5,yes,1,1,0,1,0,34.12,compact,1.87,1.85,medium,P 43 21 2
lysozyme|6LFH|1,lysozyme|6LFH|1|sodium,6LFH,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,3,0.12,30.0,10.873333333333335,mixed,molar,0.03,2.5,0.8833333333333333,high,vapor diffusion - hanging drop,4.5,298.0,yes,1,1,0,1,0,36.35,compact,1.93,1.46,high,P 21 21 21
lysozyme|6LL3|1,lysozyme|6LL3|1|sodium,6LL3,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,,,,missing,missing,,,,missing,small tubes,4.5,293.5,no,0,0,0,0,0,32.9,compact,1.83,1.8,high,P 43 21 2
lysozyme|6LT5|1,lysozyme|6LT5|1|sodium,6LT5,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1.5,50.0,25.75,mixed,molar,0.05,1.5,0.775,high,counter-diffusion,4.5,277.0,yes,1,1,0,1,0,39.02,compact,2.02,1.3,high,P 43 21 2
lysozyme|6MQV|1,lysozyme|6MQV|1|sodium,6MQV,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.2,0.2,0.2,M,molar,0.2,0.2,0.2,mid,batch,4.8,293.0,yes,1,1,0,1,0,40.8,intermediate,2.08,2.0,medium,P 43 21 2
lysozyme|6MUZ|1,lysozyme|6MUZ|1|sodium,6MUZ,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,4,1.0,50.0,18.5,mixed,mixed,1.0,3.0,2.0,very_high,vapor diffusion - hanging drop,4.0,277.0,yes,1,1,0,1,0,40.72,intermediate,2.07,1.84,medium,P 43 21 2
lysozyme|6MX9|1,lysozyme|6MX9|1|sodium,6MX9,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,7,2.0,100.0,28.714285714285715,mixed,mixed,0.05,0.1,0.07500000000000001,low_to_mid,vapor diffusion - hanging drop,4.6,293.0,yes,1,1,0,1,0,40.89,intermediate,2.08,1.35,high,P 43 21 2
lysozyme|6O2H|1,lysozyme|6O2H|1|sodium,6O2H,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,300.0,300.0,300.0,mM,molar,0.3,0.3,0.3,mid,,,,no,0,0,0,0,0,,,,,,
lysozyme|6OBA|1,lysozyme|6OBA|1|sodium,6OBA,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,400.0,400.0,400.0,mM,molar,0.4,0.4,0.4,mid,lipidic cubic phase,8.0,293.0,no,0,0,0,0,0,47.57,intermediate,2.35,3.1,lower,P 21 21 21
lysozyme|6P4D|1,lysozyme|6P4D|1|sodium,6P4D,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,150.0,150.0,150.0,mM,molar,0.15,0.15,0.15,mid,evaporation,,293.0,yes,1,1,0,1,0,37.98,compact,1.98,1.05,high,P 43 21 2
lysozyme|6PL9|1,lysozyme|6PL9|1|sodium,6PL9,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,3,1,6,0.1,1.09,0.6483333333333333,mixed,mixed,0.1,1.09,0.5780000000000001,high,vapor diffusion - hanging drop,,297.0,yes,1,1,0,1,0,42.31,intermediate,2.13,1.2,high,P 43 21 2
lysozyme|6PLA|1,lysozyme|6PLA|1|sodium,6PLA,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,3,1,6,0.1,1.04,0.64,mixed,mixed,0.1,1.04,0.5680000000000001,high,vapor diffusion - hanging drop,,297.0,yes,1,1,0,1,0,36.1,compact,1.92,1.25,high,P 43 21 2
lysozyme|6PLB|1,lysozyme|6PLB|1|sodium,6PLB,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,3,1,6,0.1,1.13,0.655,mixed,mixed,0.1,1.13,0.5860000000000001,high,vapor diffusion - hanging drop,,297.0,yes,1,1,0,1,0,39.26,compact,2.03,1.3,high,P 43 21 2
lysozyme|6Q88|1,lysozyme|6Q88|1|sodium,6Q88,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,3,6.0,150.0,58.666666666666664,mixed,mixed,0.15,0.15,0.15,mid,batch,4.0,293.0,no,0,0,0,0,0,41.45,intermediate,2.1,1.74,high,P 43 21 2
lysozyme|6Q8R|1,lysozyme|6Q8R|1|sodium,6Q8R,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,10.0,10.0,10.0,%,percent,,,,nonmolar_numeric,vapor diffusion - hanging drop,4.8,298.0,yes,1,1,0,1,0,41.0,intermediate,2.09,1.7,high,P 43 21 2
lysozyme|6Q8T|1,lysozyme|6Q8T|1|sodium,6Q8T,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,3,6.0,150.0,58.666666666666664,mixed,mixed,0.15,0.15,0.15,mid,batch,4.0,293.0,no,0,0,0,0,0,37.57,compact,1.97,1.74,high,P 43 21 2
lysozyme|6QEA|1,lysozyme|6QEA|1|sodium,6QEA,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,3,0.1,20.0,6.900000000000001,mixed,mixed,0.1,0.6,0.35,mid,vapor diffusion - hanging drop,4.4,298.0,no,0,0,0,0,0,38.52,compact,2.0,1.96,medium,P 43 21 2
lysozyme|6QNB|1,lysozyme|6QNB|1|sodium,6QNB,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,50.0,50.0,50.0,mM,molar,0.05,0.05,0.05,low_to_mid,,,,no,0,0,0,0,0,,,,,,
lysozyme|6QQ3|1,lysozyme|6QQ3|1|sodium,6QQ3,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,10.0,100.0,55.0,mixed,mixed,0.1,0.1,0.1,mid,vapor diffusion - sitting drop,4.8,291.0,yes,1,1,0,1,0,41.02,intermediate,2.09,1.53,high,P 43 21 2
lysozyme|6QQC|1,lysozyme|6QQC|1|sodium,6QQC,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0.1,9.0,4.55,mixed,mixed,0.1,0.1,0.1,mid,vapor diffusion - sitting drop,4.8,293.0,no,0,0,0,0,0,36.86,compact,1.95,1.42,high,P 43 21 2
lysozyme|6QQD|1,lysozyme|6QQD|1|sodium,6QQD,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0.1,9.0,4.55,mixed,mixed,0.1,0.1,0.1,mid,vapor diffusion - sitting drop,4.8,293.0,no,0,0,0,0,0,37.93,compact,1.98,1.92,medium,P 43 21 2
lysozyme|6QQE|1,lysozyme|6QQE|1|sodium,6QQE,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0.1,9.0,4.55,mixed,mixed,0.1,0.1,0.1,mid,vapor diffusion - sitting drop,4.8,293.0,no,0,0,0,0,0,40.91,intermediate,2.08,1.37,high,P 43 21 2
lysozyme|6QQF|1,lysozyme|6QQF|1|sodium,6QQF,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0.1,9.0,4.55,mixed,mixed,0.1,0.1,0.1,mid,vapor diffusion - sitting drop,4.8,293.0,no,0,0,0,0,0,40.83,intermediate,2.08,1.95,medium,P 43 21 2
lysozyme|6QWY|1,lysozyme|6QWY|1|sodium,6QWY,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,,,,yes,1,1,0,1,0,,,,,,
lysozyme|6QXW|1,lysozyme|6QXW|1|sodium,6QXW,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0.75,50.0,25.375,mixed,molar,0.05,0.75,0.4,mid,vapor diffusion - sitting drop,3.5,277.0,yes,1,1,0,1,0,41.84,intermediate,2.11,1.7,high,P 43 21 2
lysozyme|6QXX|1,lysozyme|6QXX|1|sodium,6QXX,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0.75,50.0,25.375,mixed,molar,0.05,0.75,0.4,mid,vapor diffusion - sitting drop,3.5,277.0,yes,1,1,0,1,0,41.84,intermediate,2.11,1.7,high,P 43 21 2
